,idU,Candidates,Gender
0,1,Enoch Nayler,M
1,2,Ethan Terry,M
2,3,Ryan Newman,M
3,4,Noemi Bradley,F
4,5,Rita Doherty,F
5,6,Dasha Townend,F
6,7,Faith Shaw,F
7,8,Ilona Moore,F
8,9,Owen Bowen,M
9,10,Wade Franks,M
10,11,Sabrina Chadwick,F
11,12,Lillian Owen,F
12,13,Violet Darcy,F
13,14,Josh Cadman,M
14,15,Morgan Welsch,F
15,16,Rosalee Lee,F
16,17,Daria Dale,F
17,18,Brooklyn Willson,F
18,19,Lillian Santos,F
19,20,Michaela Mcgregor,F
20,21,Maxwell Squire,M
21,22,Manuel Flett,M
22,23,Molly Ellery,F
23,24,Bryon Tate,M
24,25,Nathan Thomson,M
25,26,Melania Stone,F
26,27,Teagan Anderson,F
27,28,Maia Parker,F
28,29,Hayden Stubbs,M
29,30,Mike Bullock,M
30,31,Denny Simmons,M
31,32,Bryon Quinton,M
32,33,Bob Dixon,M
33,34,Susan Allcott,F
34,35,Jane Ward,F
35,36,Destiny Drew,F
36,37,Emmanuelle Rossi,F
37,38,Ruby Booth,F
38,39,Davina Quinn,F
39,40,Bernadette Grady,F
40,41,Bryon Upton,M
41,42,Marigold Martin,F
42,43,Kendra Cartwright,F
43,44,Barney Holt,M
44,45,Rose Mitchell,F
45,46,Sienna Kirby,F
46,47,Percy Olson,M
47,48,Roger Upton,M
48,49,Sara Swift,F
49,50,Jacob Russell,M
50,51,Skylar Lowe,F
51,52,Sara Brett,F
52,53,Hayden Ingham,F
53,54,Daniel Shaw,M
54,55,Caleb Parr,M
55,56,Manuel Mcnally,M
56,57,Tony Thomas,M
57,58,Benny Reynolds,M
58,59,Logan Reese,M
59,60,Morgan Paterson,F
60,61,Bryon Shaw,M
61,62,Tony Darcy,M
62,63,Kieth Benson,M
63,64,Jack Brock,M
64,65,Mike Holmes,M
65,66,Jack Jenkin,M
66,67,John Welsch,M
67,68,Phillip Reynolds,M
68,69,Jane James,F
69,70,Johnathan Robinson,M
70,71,Evelynn Chappell,F
71,72,Anais Stark,F
72,73,Cameron Hood,F
73,74,Nancy Ellwood,F
74,75,Wade Russell,M
75,76,Emerald Noon,F
76,77,Alex Bryson,F
77,78,Clint Pond,M
78,79,Anthony Eyres,M
79,80,Clint Jefferson,M
80,81,Harmony Salt,F
81,82,Josephine Anderson,F
82,83,Leroy Jeffery,M
83,84,Raquel Latham,F
84,85,Megan Isaac,F
85,86,Rosalee Dyson,F
86,87,Benny Whittle,M
87,88,Parker Dyson,F
88,89,Boris Bingham,M
89,90,Chuck Ogilvy,M
90,91,Johnny Turner,M
91,92,Mike Redfern,M
92,93,Rosalie Rose,F
93,94,Scarlett Bentley,F
94,95,Gladys Bailey,F
95,96,Evelynn Funnell,F
96,97,Alessia Reese,F
97,98,Remy Dillon,F
98,99,Elisabeth Preston,F
99,100,Madelyn Ianson,F
100,101,Bart Alcroft,M
101,102,Ron Verdon,M
102,103,Brad Owen,M
103,104,Jules Wilde,F
104,105,Erica Power,F
105,106,Shannon Hobbs,F
106,107,Candace Attwood,F
107,108,Sara Partridge,F
108,109,Joyce Windsor,F
109,110,Kieth Ebden,M
110,111,Gil Lyon,M
111,112,Nathan Allen,M
112,113,Harry Olivier,M
113,114,Isabel Groves,F
114,115,Ember Weldon,F
115,116,Ada Umney,F
116,117,Marigold Chapman,F
117,118,Tiffany Vernon,F
118,119,Russel Gavin,M
119,120,Jack May,M
120,121,Julian Kennedy,M
121,122,Bart Aldridge,M
122,123,Ramon Brown,M
123,124,Caleb Stubbs,M
124,125,Alexander Wilkinson,M
125,126,Anthony Harrison,M
126,127,Danny Mitchell,M
127,128,Luke Funnell,M
128,129,Harvey Warden,M
129,130,Hanna Huggins,F
130,131,Camden Everett,F
131,132,Carl Wooldridge,M
132,133,Joyce Fulton,F
133,134,Chad Morley,M
134,135,Hanna Mason,F
135,136,Jack Griffiths,M
136,137,Norah Tate,F
137,138,Johnathan Whitehouse,M
138,139,Josh Summers,M
139,140,Madison Collingwood,F
140,141,Mavis Page ,F
141,142,Lindsay Wise,F
142,143,Tess Brooks,F
143,144,David Wilson,M
144,145,Julius Veale,M
145,146,Wade Baker,M
146,147,Boris Funnell,M
147,148,Erick Snow,M
148,149,Aileen Gregory,F
149,150,Julia Edwards,F
150,151,Carmen Dubois,F
151,152,Liliana Sinclair,F
152,153,Eden Chappell,F
153,154,Marjorie Robinson,F
154,155,Gwenyth James,F
155,156,Chad Owen,M
156,157,Benny Osmond,M
157,158,Charlotte Zaoui,F
158,159,Alexa Clarke,F
159,160,Carl Gardner,M
160,161,Vicky Weston,F
161,162,Aurelia Thornton,F
162,163,Eduardo Bullock,M
163,164,Elijah Drummond,M
164,165,Manuel Brennan,M
165,166,Erick Denton,M
166,167,Eduardo Rowe,M
167,168,Domenic Thatcher,M
168,169,Michael Farmer,M
169,170,Barney Victor,M
170,171,Cedrick Preston,M
171,172,Leroy Lane,M
172,173,Luke Wright,M
173,174,Mark Thomson,M
174,175,Chloe Miller,F
175,176,Carter Gray,M
176,177,Jacob King,M
177,178,George Grey,M
178,179,Miley Crawford,F
179,180,Samantha Becker,F
180,181,Daron Walton,M
181,182,Fred Osmond,M
182,183,Bart Ward,M
183,184,Maxwell Stanley,M
184,185,Beatrice Power,F
185,186,Gil Wallace,M
186,187,Danny Hill,M
187,188,Isabel Silva,F
188,189,Camden Mccall,F
189,190,Chelsea Gonzales,F
190,191,Macy Harvey,F
191,192,Alan Clayton,M
192,193,Emmanuelle Murphy,F
193,194,Isla Saunders,F
194,195,Martin Thompson,M
195,196,Ciara Exton,F
196,197,Marilyn Hope,F
197,198,Bryon Dallas,M
198,199,Violet Matthews,F
199,200,Jack Harris,M
200,201,Nick Gavin,M
201,202,Mason Dale,M
202,203,Adeline Leslie,F
203,204,Crystal Mackenzie,F
204,205,Daron Walsh,M
205,206,Michael Notman,M
206,207,Colleen Evans,F
207,208,Kieth John,M
208,209,Domenic Rowan,M
209,210,Joseph Tate,M
210,211,Emery Jefferson,F
211,212,Christy Rothwell,F
212,213,Kassandra Funnell,F
213,214,Harvey Rixon,M
214,215,Eileen Gosling,F
215,216,Benny Ranks,M
216,217,Trisha Khan,F
217,218,Abdul Dale,M
218,219,Alexa Bell,F
219,220,Cynthia Turner,F
220,221,Brad Verdon,M
221,222,Chester Benson,M
222,223,Hayden Snow,M
223,224,Tiffany Addison,F
224,225,Mabel Kennedy,F
225,226,Tess Terry,F
226,227,Cristal Funnell,F
227,228,Makena Riley,F
228,229,Meredith Grey,F
229,230,Quinn Kennedy,F
230,231,Carl Nelson,M
231,232,Hayden Woodcock,M
232,233,Elle Page ,F
233,234,Elijah Irving,M
234,235,Cedrick Driscoll,M
235,236,Elisabeth White,F
236,237,Chelsea Edley,F
237,238,Camila Campbell,F
238,239,Emmanuelle Thatcher,F
239,240,Mark Speed,M
240,241,Lindsay Flynn,F
241,242,Doug Stone,M
242,243,Tyler Broomfield,M
243,244,Aiden Bolton,M
244,245,Henry Wade,M
245,246,Victoria Alcroft,F
246,247,Alba Hardwick,F
247,248,Julian Owens,M
248,249,Jacob Savage,M
249,250,Joseph Shaw,M
250,251,Josh Drummond,M
251,252,Leroy Flanders,M
252,253,Jackeline Walsh,F
253,254,Elena Nelson,F
254,255,Fiona Richardson,F
255,256,Gabriel Jenkins,M
256,257,Johnny Addis,M
257,258,Harvey Blythe,M
258,259,Harry Kerr,M
259,260,Victoria Blackwall,F
260,261,Mike Redfern,M
261,262,Catherine Dale,F
262,263,Eduardo Edwards,M
263,264,Nate Ianson,M
264,265,Nate Roscoe,M
265,266,Harvey Antcliff,M
266,267,Livia Stewart,F
267,268,Valerie Price,F
268,269,Henry Griffiths,M
269,270,Gabriel Thatcher,M
270,271,Carter Broomfield,M
271,272,Hayden Barclay,M
272,273,Marvin Doherty,M
273,274,Candice Davies,F
274,275,Emely Morris,F
275,276,Jules Potts,F
276,277,Morgan Locke,F
277,278,Cassandra Lucas,F
278,279,Maxwell Hale,M
279,280,Madison Hogg,F
280,281,Leilani Bingham,F
281,282,Alexander Wilson,M
282,283,Chester Weatcroft,M
283,284,Bob Lambert,M
284,285,Nina Sawyer,F
285,286,Gabriel Robertson,M
286,287,Ronald Brown,M
287,288,Aileen Graham,F
288,289,Piper Avery,F
289,290,Aisha Brown,F
290,291,Tom Jefferson,M
291,292,Julianna Larsen,F
292,293,Tony Hewitt,M
293,294,Tony Morgan,M
294,295,Angela Glass,F
295,296,Cedrick Gates,M
296,297,Javier Styles,M
297,298,Anais Forth,F
298,299,Doug Selby,M
299,300,Britney Harris,F
300,301,Gabriel Waterhouse,M
301,302,Nina Cox,F
302,303,Grace Walker,F
303,304,Daron Lane,M
304,305,Denis Corbett,M
305,306,Brad Niles,M
306,307,Julius Ranks,M
307,308,Sofie Brett,F
308,309,Anthony Fox,M
309,310,Louise Casey,F
310,311,Michelle Barclay,F
311,312,Shannon Holt,F
312,313,Tyler Alexander,M
313,314,Mark Abbot,M
314,315,Logan Matthews,M
315,316,Melody Lewis,F
316,317,Ruby Brown,F
317,318,Makenzie Roberts,F
318,319,Denis Lowe,M
319,320,Luna Parker,F
320,321,Owen Roscoe,M
321,322,Nina Dyson,F
322,323,John Bell,M
323,324,Carter Egerton,M
324,325,Samantha Emerson,F
325,326,Beatrice Mason,F
326,327,Liam Gilmore,M
327,328,Doug Watson,M
328,329,Liam Baldwin,M
329,330,Rocco Patel,M
330,331,Shay Noon,F
331,332,Aiden Khan,M
332,333,Marissa Patel,F
333,334,Holly Holt,F
334,335,Hayden Mcgregor,M
335,336,Luke Clayton,M
336,337,Maxwell Judd,M
337,338,Ronald Drake,M
338,339,Johnny Rees,M
339,340,Gwen Wilkinson,F
340,341,Harry Wilson,M
341,342,Helen Widdows,F
342,343,John Redfern,M
343,344,Phillip Spencer,M
344,345,Luke Richards,M
345,346,Rocco Thomson,M
346,347,Adalind Murphy,F
347,348,Evelynn Hilton,F
348,349,Willow Robinson,F
349,350,Benny Sloan,M
350,351,Russel Logan,M
351,352,Joy Chapman,F
352,353,Melinda Willson,F
353,354,Marissa Speed,F
354,355,Carmen Poulton,F
355,356,Danny Neal,M
356,357,Amelia Stanton,F
357,358,Harry Stark,M
358,359,Rick Edwards,M
359,360,Chanelle Forth,F
360,361,Benjamin Hancock,M
361,362,Priscilla Dwyer,F
362,363,Rick Gibbons,M
363,364,Parker Whittle,F
364,365,Aiden Groves,M
365,366,Doug Ring,M
366,367,Elijah Archer,M
367,368,Alan Ross,M
368,369,Nicholas Reese,M
369,370,Jack Garner,M
370,371,William Rixon,M
371,372,Karla Hall,F
372,373,Angelica Sherwood,F
373,374,Barney Downing,M
374,375,Mina Osmond,F
375,376,Mason Nobbs,M
376,377,Anthony Shelton,M
377,378,Denis Pratt,M
378,379,Cassidy Yarlett,F
379,380,Adalind Douglas,F
380,381,Benny Robertson,M
381,382,Carter Clarke,M
382,383,Leah Forester,F
383,384,Percy Booth,M
384,385,Lucy Gordon,F
385,386,Crystal Sinclair,F
386,387,Matthew Oswald,M
387,388,Sage Parker,F
388,389,Darlene Wright,F
389,390,Bree Stewart,F
390,391,Leroy Stevenson,M
391,392,Sloane Douglas,F
392,393,Julius Allington,M
393,394,Sebastian Moore,M
394,395,Manuel Baldwin,M
395,396,Isabel Hill,F
396,397,Mina Sawyer,F
397,398,Blake Gordon,F
398,399,John Richards,M
399,400,Chester Ingram,M
400,401,Matthew Moreno,M
401,402,Henry Robinson,M
402,403,Anais Holt,F
403,404,Greta Eastwood,F
404,405,David Tindall,M
405,406,Piper Plumb,F
406,407,Harriet Nicolas,F
407,408,Marjorie Forth,F
408,409,Bryon Vincent,M
409,410,Joseph Jackson,M
410,411,Rosalee Rycroft,F
411,412,Barney Emmott,M
412,413,Julian Smith,M
413,414,Lucas Umney,M
414,415,Lucas Wilson,M
415,416,Julian Price,M
416,417,Rick Collins,M
417,418,Camila Benson,F
418,419,Nick Whitehouse,M
419,420,Agnes Jenkins,F
420,421,Maribel Butler,F
421,422,Bethany Robertson,F
422,423,Leroy Leigh,M
