ID,Candidate,Gender,idBank,idPassion,idInstitution
1,Enoch Nayler,M,1,1,1
2,Ethan Terry,M,2,2,2
3,Ryan Newman,M,3,2,2
4,Noemi Bradley,F,4,3,2
5,Rita Doherty,F,5,1,3
6,Dasha Townend,F,6,4,2
7,Faith Shaw,F,7,5,4
8,Ilona Moore,F,2,6,1
9,Owen Bowen,M,8,7,4
10,Wade Franks,M,9,8,4
11,Sabrina Chadwick,F,6,9,5
12,Lillian Owen,F,4,3,4
13,Violet Darcy,F,7,10,6
14,Josh Cadman,M,10,4,7
15,Morgan Welsch,F,11,6,8
16,Rosalee Lee,F,1,7,6
17,Daria Dale,F,2,1,9
18,Brooklyn Willson,F,1,11,4
19,Lillian Santos,F,8,11,7
20,Michaela Mcgregor,F,10,7,10
21,Maxwell Squire,M,1,1,1
22,Manuel Flett,M,2,12,10
23,Molly Ellery,F,5,12,2
24,Bryon Tate,M,5,7,9
25,Nathan Thomson,M,7,5,2
26,Melania Stone,F,8,7,6
27,Teagan Anderson,F,2,6,7
28,Maia Parker,F,4,4,1
29,Hayden Stubbs,M,7,11,1
30,Mike Bullock,M,2,4,8
31,Denny Simmons,M,5,1,4
32,Bryon Quinton,M,3,6,3
33,Bob Dixon,M,2,13,10
34,Susan Allcott,F,11,14,4
35,Jane Ward,F,10,15,4
36,Destiny Drew,F,2,13,8
37,Emmanuelle Rossi,F,4,4,5
38,Ruby Booth,F,7,14,5
39,Davina Quinn,F,4,1,3
40,Bernadette Grady,F,5,6,1
41,Bryon Upton,M,3,10,6
42,Marigold Martin,F,3,5,6
43,Kendra Cartwright,F,5,15,5
44,Barney Holt,M,5,13,4
45,Rose Mitchell,F,10,2,1
46,Sienna Kirby,F,8,7,6
47,Percy Olson,M,7,4,4
48,Roger Upton,M,11,6,5
49,Sara Swift,F,10,8,8
50,Jacob Russell,M,4,14,1
51,Skylar Lowe,F,6,5,6
52,Sara Brett,F,1,1,10
53,Hayden Ingham,F,11,6,3
54,Daniel Shaw,M,5,3,10
55,Caleb Parr,M,9,6,9
56,Manuel Mcnally,M,9,7,1
57,Tony Thomas,M,10,14,7
58,Benny Reynolds,M,2,14,1
59,Logan Reese,M,5,15,1
60,Morgan Paterson,F,7,12,1
61,Bryon Shaw,M,9,15,4
62,Tony Darcy,M,7,12,8
63,Kieth Benson,M,8,3,5
64,Jack Brock,M,11,9,10
65,Mike Holmes,M,9,3,9
66,Jack Jenkin,M,4,12,8
67,John Welsch,M,10,2,1
68,Phillip Reynolds,M,6,6,9
69,Jane James,F,4,14,2
70,Johnathan Robinson,M,4,8,7
71,Evelynn Chappell,F,5,13,10
72,Anais Stark,F,3,11,6
73,Cameron Hood,F,10,1,5
74,Nancy Ellwood,F,1,10,4
75,Wade Russell,M,8,8,1
76,Emerald Noon,F,4,7,7
77,Alex Bryson,F,4,6,1
78,Clint Pond,M,10,4,3
79,Anthony Eyres,M,8,10,6
80,Clint Jefferson,M,9,14,8
81,Harmony Salt,F,7,11,4
82,Josephine Anderson,F,6,6,2
83,Leroy Jeffery,M,7,14,1
84,Raquel Latham,F,7,12,2
85,Megan Isaac,F,4,2,1
86,Rosalee Dyson,F,6,1,6
87,Benny Whittle,M,1,2,5
88,Parker Dyson,F,9,7,4
89,Boris Bingham,M,2,15,10
90,Chuck Ogilvy,M,6,13,2
91,Johnny Turner,M,5,10,8
92,Mike Redfern,M,7,9,4
93,Rosalie Rose,F,11,13,7
94,Scarlett Bentley,F,5,5,9
95,Gladys Bailey,F,1,1,3
96,Evelynn Funnell,F,7,6,5
97,Alessia Reese,F,8,5,4
98,Remy Dillon,F,9,10,4
99,Elisabeth Preston,F,3,8,6
100,Madelyn Ianson,F,7,2,3
101,Bart Alcroft,M,5,3,5
102,Ron Verdon,M,3,8,9
103,Brad Owen,M,11,1,8
104,Jules Wilde,F,5,10,3
105,Erica Power,F,4,2,6
106,Shannon Hobbs,F,5,10,9
107,Candace Attwood,F,3,1,3
108,Sara Partridge,F,7,7,3
109,Joyce Windsor,F,4,14,1
110,Kieth Ebden,M,2,2,1
111,Gil Lyon,M,11,8,10
112,Nathan Allen,M,6,9,6
113,Harry Olivier,M,5,11,2
114,Isabel Groves,F,2,3,2
115,Ember Weldon,F,1,10,6
116,Ada Umney,F,5,2,2
117,Marigold Chapman,F,5,10,5
118,Tiffany Vernon,F,10,6,6
